nms_pre,min_bbox_size,score_thr,max_per_img,network,avg_time,precision,recall, F1;
100,10,0.3,50,rtmdet_l_8xb32-300e_coco.py,0.03605397602297225,0.7129228100607112,0.4301412872841444,0.5365535248041775;
100,10,0.3,50,rtmdet_m_8xb32-300e_coco.py,0.022899959514390177,0.7197508896797153,0.42333856619570903,0.5331136738056014;
100,10,0.3,50,rtmdet_s_8xb32-300e_coco.py,0.019032052321027417,0.7927308447937131,0.42229199372056514,0.5510413110276544;
100,10,0.3,50,rtmdet_tiny_8xb32-300e_coco.py,0.017946523215089525,0.7851959361393324,0.28309785452642594,0.41615384615384615;
100,10,0.5,10,rtmdet_x_8xb32-300e_coco.py,0.05732505924099094,0.7106413994169096,0.5102040816326531,0.5939689308559245;
100,10,0.5,10,rtmdet_l_8xb32-300e_coco.py,0.03600740702647083,0.7193605683836589,0.423861852433281,0.5334211392821864;
100,10,0.5,10,rtmdet_m_8xb32-300e_coco.py,0.022805204142385453,0.7316849816849816,0.4181057038199895,0.5321345321345322;
100,10,0.5,10,rtmdet_s_8xb32-300e_coco.py,0.018888969754063806,0.794383149448345,0.41444270015698587,0.5447042640990372;
100,10,0.5,10,rtmdet_tiny_8xb32-300e_coco.py,0.017822034657001495,0.7868613138686131,0.28205128205128205,0.41525423728813554;
100,10,0.5,25,rtmdet_x_8xb32-300e_coco.py,0.05718780175233499,0.7030386740331491,0.532705389848247,0.6061327776123846;
100,10,0.5,25,rtmdet_l_8xb32-300e_coco.py,0.03595550645072505,0.7129228100607112,0.4301412872841444,0.5365535248041775;
100,10,0.5,25,rtmdet_m_8xb32-300e_coco.py,0.022883402767466074,0.7197508896797153,0.42333856619570903,0.5331136738056014;
100,10,0.5,25,rtmdet_s_8xb32-300e_coco.py,0.018915538639985314,0.7927308447937131,0.42229199372056514,0.5510413110276544;
100,10,0.5,25,rtmdet_tiny_8xb32-300e_coco.py,0.017914595348494395,0.7851959361393324,0.28309785452642594,0.41615384615384615;
100,10,0.5,50,rtmdet_x_8xb32-300e_coco.py,0.05709879302279853,0.7030386740331491,0.532705389848247,0.6061327776123846;
100,10,0.5,50,rtmdet_l_8xb32-300e_coco.py,0.036020364401475435,0.7129228100607112,0.4301412872841444,0.5365535248041775;
100,10,0.5,50,rtmdet_m_8xb32-300e_coco.py,0.022756516933441162,0.7197508896797153,0.42333856619570903,0.5331136738056014;
100,10,0.5,50,rtmdet_s_8xb32-300e_coco.py,0.018705586130304853,0.7927308447937131,0.42229199372056514,0.5510413110276544;
100,10,0.5,50,rtmdet_tiny_8xb32-300e_coco.py,0.017872618777411326,0.7851959361393324,0.28309785452642594,0.41615384615384615;
100,25,0.1,10,rtmdet_x_8xb32-300e_coco.py,0.05755510926246643,0.7290322580645161,0.4730507587650445,0.5737860996509044;
100,25,0.1,10,rtmdet_l_8xb32-300e_coco.py,0.03620423706433245,0.738255033557047,0.40293040293040294,0.5213270142180095;
100,25,0.1,10,rtmdet_m_8xb32-300e_coco.py,0.023016877835163017,0.7447236180904523,0.3877551020408163,0.509979353062629;
100,25,0.1,10,rtmdet_s_8xb32-300e_coco.py,0.0189333906360701,0.8032258064516129,0.39089481946624804,0.5258711721224921;
100,25,0.1,10,rtmdet_tiny_8xb32-300e_coco.py,0.018053338744423605,0.7933227344992051,0.261119832548404,0.39291338582677166;
100,25,0.1,25,rtmdet_x_8xb32-300e_coco.py,0.057431150008650386,0.7238394964594808,0.48142333856619574,0.5782526712759272;
100,25,0.1,25,rtmdet_l_8xb32-300e_coco.py,0.0362190053663181,0.7322611163670766,0.4050235478806907,0.5215633423180593;
100,25,0.1,25,rtmdet_m_8xb32-300e_coco.py,0.023220763224341003,0.7386138613861386,0.39037153322867607,0.5107839780896953;
100,25,0.1,25,rtmdet_s_8xb32-300e_coco.py,0.019083476534076764,0.8,0.3935112506541078,0.5275341985268327;
100,25,0.1,25,rtmdet_tiny_8xb32-300e_coco.py,0.01816397255117243,0.7923930269413629,0.2616431187859759,0.3933910306845004;
100,25,0.1,50,rtmdet_x_8xb32-300e_coco.py,0.05714173877940459,0.7238394964594808,0.48142333856619574,0.5782526712759272;
100,25,0.1,50,rtmdet_l_8xb32-300e_coco.py,0.03631175292357234,0.7322611163670766,0.4050235478806907,0.5215633423180593;
100,25,0.1,50,rtmdet_m_8xb32-300e_coco.py,0.023077833518553317,0.7386138613861386,0.39037153322867607,0.5107839780896953;
100,25,0.1,50,rtmdet_s_8xb32-300e_coco.py,0.01896376142314836,0.8,0.3935112506541078,0.5275341985268327;
100,25,0.1,50,rtmdet_tiny_8xb32-300e_coco.py,0.01825200536034324,0.7923930269413629,0.2616431187859759,0.3933910306845004;
100,25,0.3,10,rtmdet_x_8xb32-300e_coco.py,0.057368201367995315,0.7290322580645161,0.4730507587650445,0.5737860996509044;
100,25,0.3,10,rtmdet_l_8xb32-300e_coco.py,0.036169713690080714,0.738255033557047,0.40293040293040294,0.5213270142180095;
100,25,0.3,10,rtmdet_m_8xb32-300e_coco.py,0.0229901017321183,0.7447236180904523,0.3877551020408163,0.509979353062629;
100,25,0.3,10,rtmdet_s_8xb32-300e_coco.py,0.018892377030615713,0.8032258064516129,0.39089481946624804,0.5258711721224921;
100,25,0.3,10,rtmdet_tiny_8xb32-300e_coco.py,0.01839307113127275,0.7933227344992051,0.261119832548404,0.39291338582677166;
